iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,P_HTHAB,SI	0.29 	0.19 	0.38 	0.19 	0.10 	0.38 	0.19 	0.38 	0.29 	0.19 	0.19 	0.29 	0.29 	0.29 
ICCS0101,PER_CNV,F,P_HTHAB,SK	0.25 	0.07 	0.11 	0.14 	0.14 	0.11 	0.04 	0.22 	0.18 	0.18 	0.18 	0.04 	0.18 	0.18 
ICCS0101,PER_CNV,F,P_HTHAB,TR	0.66 	0.48 	0.58 	0.53 	0.47 	0.48 	0.55 	0.62 	0.69 	1.41 	1.08 	1.33 	1.35 	: 
ICCS0101,PER_CNV,F,P_HTHAB,UKC-L	: 	: 	: 	: 	: 	0.08 	0.05 	0.09 	0.10 	0.11 	0.08 	0.06 	0.07 	0.09 
ICCS0101,PER_CNV,F,P_HTHAB,UKM	: 	: 	: 	: 	0.11 	0.11 	0.07 	0.04 	0.15 	0.07 	0.15 	0.22 	0.15 	0.15 
ICCS0101,PER_CNV,F,P_HTHAB,UKN	: 	: 	: 	: 	: 	0.11 	0.00 	0.00 	0.00 	0.11 	0.22 	0.11 	0.22 	0.00 
ICCS0101,PER_CNV,F,P_HTHAB,XK	: 	: 	0.33 	0.44 	: 	0.11 	: 	: 	: 	: 	0.45 	0.27 	0.37 	0.19 
ICCS0101,PER_CNV,M,NR,AL	96 	60 	73 	113 	93 	132 	163 	172 	52 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,AT	33 	35 	31 	42 	22 	28 	21 	31 	28 	35 	26 	36 	17 	20 
ICCS0101,PER_CNV,M,NR,BA	109 	71 	70 	93 	87 	84 	68 	87 	153 	102 	103 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,BE	: 	: 	72 	88 	82 	84 	74 	209 	227 	273 	213 	189 	: 	: 
ICCS0101,PER_CNV,M,NR,BG	50 	37 	55 	62 	74 	77 	93 	66 	65 	97 	107 	113 	107 	134 
ICCS0101,PER_CNV,M,NR,CH	25 	22 	22 	31 	34 	28 	33 	34 	30 	36 	23 	41 	29 	35 
ICCS0101,PER_CNV,M,NR,CY	: 	: 	7 	2 	13 	6 	3 	6 	18 	8 	2 	11 	5 	3 
ICCS0101,PER_CNV,M,NR,CZ	87 	86 	64 	87 	69 	82 	100 	116 	107 	98 	108 	90 	100 	121 
ICCS0101,PER_CNV,M,NR,DE	254 	276 	313 	262 	258 	289 	299 	287 	259 	326 	286 	342 	344 	: 
ICCS0101,PER_CNV,M,NR,DK	32 	37 	22 	28 	30 	16 	33 	19 	20 	31 	24 	48 	34 	21 
ICCS0101,PER_CNV,M,NR,EE	28 	27 	34 	26 	22 	34 	32 	28 	61 	56 	38 	50 	: 	: 
ICCS0101,PER_CNV,M,NR,EL	224 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
