iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS03011,PER_SUSP,F,P_HTHAB,DK	0.20 	0.27 	0.27 	0.41 	0.17 	0.21 	0.28 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,EL	0.20 	0.00 	0.05 	0.09 	0.04 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,ES	0.10 	0.05 	0.04 	0.06 	0.06 	0.02 	0.06 	0.04 	0.11 	0.05 	0.04 	0.08 	0.10 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,EU_V	0.46 	0.34 	0.31 	0.28 	0.24 	0.20 	0.20 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,FI	1.04 	0.36 	0.43 	0.11 	0.29 	0.25 	0.11 	0.14 	0.14 	0.69 	0.11 	0.07 	0.11 	0.30 
ICCS03011,PER_SUSP,F,P_HTHAB,FR	1.20 	0.95 	0.76 	0.61 	0.52 	0.46 	0.42 	0.47 	0.49 	0.38 	0.36 	0.33 	0.38 	0.35 
ICCS03011,PER_SUSP,F,P_HTHAB,HR	0.34 	0.05 	0.00 	0.14 	0.05 	0.18 	0.09 	0.00 	0.00 	0.00 	0.05 	0.22 	0.04 	0.04 
ICCS03011,PER_SUSP,F,P_HTHAB,HU	0.22 	0.26 	0.10 	0.02 	0.25 	0.21 	0.14 	0.06 	0.04 	0.02 	0.06 	0.19 	0.00 	0.04 
ICCS03011,PER_SUSP,F,P_HTHAB,IE	: 	0.08 	0.16 	0.08 	0.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,IS	1.11 	1.13 	3.45 	3.51 	1.20 	2.42 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LI	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LT	0.00 	0.00 	0.00 	0.07 	0.00 	0.13 	0.00 	0.00 	0.00 	0.12 	0.18 	0.06 	0.12 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LU	2.85 	1.93 	0.66 	0.67 	0.68 	1.39 	1.42 	1.09 	: 	: 	0.78 	1.98 	0.80 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,LV	0.10 	0.19 	0.10 	0.19 	0.09 	0.47 	0.00 	0.09 	0.00 	0.27 	0.09 	0.17 	0.17 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS03011,PER_SUSP,F,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	0.10 	: 	0.10 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,MT	0.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,NL	0.14 	0.02 	0.13 	0.08 	0.12 	0.11 	0.13 	0.11 	0.11 	0.30 	0.12 	0.18 	0.30 	0.30 
ICCS03011,PER_SUSP,F,P_HTHAB,NO	0.41 	0.41 	0.26 	0.42 	0.54 	0.39 	0.31 	0.31 	0.28 	0.16 	0.06 	0.12 	0.04 	0.19 
ICCS03011,PER_SUSP,F,P_HTHAB,PL	0.02 	0.00 	0.01 	0.01 	0.01 	0.01 	0.00 	0.01 	0.00 	0.07 	0.07 	0.06 	0.08 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,PT	0.11 	0.06 	0.07 	0.11 	0.06 	0.04 	0.13 	0.05 	0.16 	0.05 	0.13 	0.09 	0.09 	0.13 
ICCS03011,PER_SUSP,F,P_HTHAB,RS	0.00 	0.03 	0.00 	0.03 	0.00 	0.03 	0.00 	0.03 	0.00 	0.00 	0.00 	0.00 	0.08 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,SE	1.92 	1.77 	1.49 	1.15 	0.92 	1.02 	0.80 	0.72 	0.94 	0.42 	0.40 	0.28 	0.35 	0.29 
ICCS03011,PER_SUSP,F,P_HTHAB,SI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.10 	0.00 	0.00 	0.00 
ICCS03011,PER_SUSP,F,P_HTHAB,SK	0.00 	0.00 	0.00 	0.00 	0.04 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,F,P_HTHAB,XK	: 	0.11 	0.11 	0.22 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,AL	67 	78 	87 	46 	41 	46 	61 	44 	41 	25 	24 	51 	96 	72 
ICCS03011,PER_SUSP,M,NR,AT	1693 	1563 	1570 	1582 	1374 	1125 	1003 	1084 	1098 	1088 	1084 	1048 	647 	588 
ICCS03011,PER_SUSP,M,NR,BA	21 	21 	27 	: 	: 	9 	11 	10 	19 	15 	11 	31 	: 	: 
ICCS03011,PER_SUSP,M,NR,BE	416 	420 	528 	492 	504 	422 	444 	941 	1043 	1234 	1280 	1283 	1326 	1306 
ICCS03011,PER_SUSP,M,NR,BG	71 	73 	73 	68 	58 	77 	52 	100 	91 	108 	94 	140 	180 	227 
ICCS03011,PER_SUSP,M,NR,CH	630 	626 	563 	526 	516 	: 	420 	462 	435 	461 	453 	453 	466 	: 
ICCS03011,PER_SUSP,M,NR,CY	50 	22 	23 	26 	16 	22 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,CZ	524 	411 	448 	433 	439 	460 	385 	388 	364 	399 	404 	375 	314 	345 
ICCS03011,PER_SUSP,M,NR,DE	8963 	8716 	8142 	7707 	6916 	6393 	5823 	6086 	6203 	6701 	6418 	6601 	6208 	6310 
ICCS03011,PER_SUSP,M,NR,DK	519 	469 	453 	438 	411 	345 	258 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,EL	305 	162 	187 	219 	244 	232 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,ES	1274 	1044 	1235 	1214 	1045 	688 	876 	937 	836 	853 	1048 	1219 	1358 	: 
ICCS03011,PER_SUSP,M,NR,FI	1270 	1261 	1056 	787 	930 	819 	808 	713 	796 	752 	641 	572 	509 	633 
ICCS03011,PER_SUSP,M,NR,FR	22111 	16487 	15024 	13506 	10502 	11612 	8610 	8134 	7620 	7319 	7149 	6717 	6792 	6819 
ICCS03011,PER_SUSP,M,NR,HR	163 	133 	150 	125 	136 	137 	136 	174 	174 	103 	98 	116 	98 	145 
ICCS03011,PER_SUSP,M,NR,HU	424 	441 	309 	190 	338 	393 	361 	255 	249 	250 	262 	293 	234 	282 
ICCS03011,PER_SUSP,M,NR,IE	: 	247 	145 	96 	218 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,IS	185 	154 	179 	224 	180 	167 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,LI	: 	: 	: 	: 	: 	2 	1 	4 	2 	5 	2 	0 	0 	: 
ICCS03011,PER_SUSP,M,NR,LT	55 	44 	68 	73 	103 	81 	90 	108 	88 	108 	167 	151 	148 	106 
ICCS03011,PER_SUSP,M,NR,LU	83 	100 	89 	70 	89 	83 	54 	48 	: 	: 	58 	53 	47 	: 
ICCS03011,PER_SUSP,M,NR,LV	123 	137 	123 	143 	149 	116 	78 	96 	86 	46 	35 	198 	99 	: 
ICCS03011,PER_SUSP,M,NR,ME	8 	10 	4 	7 	8 	2 	5 	4 	3 	3 	3 	11 	8 	19 
ICCS03011,PER_SUSP,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	47 	36 	35 	39 	31 	40 	49 
ICCS03011,PER_SUSP,M,NR,MT	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,NL	610 	627 	690 	598 	602 	565 	612 	636 	695 	775 	910 	1000 	1225 	1300 
ICCS03011,PER_SUSP,M,NR,NO	577 	527 	504 	492 	509 	432 	388 	394 	403 	384 	352 	403 	375 	363 
ICCS03011,PER_SUSP,M,NR,PL	361 	332 	408 	443 	397 	369 	343 	419 	402 	842 	880 	830 	935 	: 
ICCS03011,PER_SUSP,M,NR,PT	146 	116 	151 	159 	154 	145 	142 	144 	159 	147 	140 	194 	244 	245 
ICCS03011,PER_SUSP,M,NR,RS	123 	96 	134 	127 	126 	52 	62 	59 	89 	91 	83 	84 	120 	126 
ICCS03011,PER_SUSP,M,NR,SE	4559 	4581 	4240 	3565 	3243 	2882 	2803 	2773 	2625 	2725 	2730 	2858 	2599 	2257 
ICCS03011,PER_SUSP,M,NR,SI	45 	41 	34 	33 	41 	29 	39 	41 	38 	46 	38 	47 	68 	42 
ICCS03011,PER_SUSP,M,NR,SK	66 	53 	61 	60 	55 	50 	53 	63 	46 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,NR,XK	133 	72 	47 	32 	29 	26 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,AL	4.75 	5.49 	6.09 	3.20 	2.82 	3.15 	4.17 	3.01 	: 	: 	1.69 	: 	6.06 	4.53 
ICCS03011,PER_SUSP,M,P_HTHAB,AT	38.50 	35.69 	36.03 	36.46 	31.86 	26.38 	23.91 	26.09 	26.63 	26.55 	26.58 	25.77 	15.95 	14.55 
ICCS03011,PER_SUSP,M,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.80 	0.59 	1.65 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,BE	7.30 	7.39 	9.35 	8.76 	9.02 	7.58 	8.04 	17.13 	19.01 	22.63 	23.70 	24.15 	25.17 	25.00 
ICCS03011,PER_SUSP,M,P_HTHAB,BG	2.12 	2.17 	2.15 	1.99 	1.68 	2.21 	1.48 	2.84 	2.57 	3.03 	2.62 	3.87 	4.95 	6.20 
ICCS03011,PER_SUSP,M,P_HTHAB,CH	14.64 	14.66 	13.29 	12.50 	12.36 	: 	10.31 	11.49 	10.96 	11.75 	11.68 	11.83 	12.31 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,CY	11.42 	5.06 	5.38 	6.17 	3.84 	5.33 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,CZ	9.93 	7.80 	8.54 	8.30 	8.44 	8.87 	7.44 	7.52 	7.05 	7.74 	7.85 	7.30 	6.14 	6.81 
ICCS03011,PER_SUSP,M,P_HTHAB,DE	21.85 	21.24 	19.87 	18.87 	16.99 	15.78 	14.62 	15.39 	15.75 	17.08 	16.40 	16.46 	15.45 	15.67 
ICCS03011,PER_SUSP,M,P_HTHAB,DK	17.87 	16.19 	15.68 	15.23 	14.37 	12.16 	9.18 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,EL	5.87 	3.11 	3.59 	4.20 	4.67 	4.44 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,ES	5.48 	4.50 	5.37 	5.31 	4.58 	3.02 	3.84 	4.10 	3.63 	3.69 	4.55 	5.30 	5.94 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,EU_V	24.75 	20.92 	19.72 	17.99 	15.75 	15.47 	13.65 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,FI	46.46 	46.22 	38.78 	28.94 	34.29 	30.32 	30.02 	26.60 	29.85 	28.35 	24.29 	21.79 	19.49 	24.38 
ICCS03011,PER_SUSP,M,P_HTHAB,FR	67.58 	50.68 	46.26 	41.67 	32.50 	36.01 	26.74 	25.47 	23.98 	23.16 	22.72 	21.46 	21.81 	22.01 
ICCS03011,PER_SUSP,M,P_HTHAB,HR	8.30 	6.75 	7.60 	6.31 	6.78 	6.77 	6.67 	8.49 	8.46 	4.99 	4.74 	5.59 	4.72 	6.98 
ICCS03011,PER_SUSP,M,P_HTHAB,HU	9.09 	9.42 	6.61 	4.07 	7.23 	8.38 	7.69 	5.42 	5.28 	5.29 	5.52 	6.16 	4.91 	5.91 
ICCS03011,PER_SUSP,M,P_HTHAB,IE	: 	10.05 	5.97 	4.01 	9.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,IS	97.86 	82.38 	97.90 	126.13 	105.24 	99.84 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LI	: 	: 	: 	: 	: 	10.72 	5.39 	21.74 	10.96 	27.71 	11.18 	0.00 	0.00 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LT	4.19 	3.37 	5.25 	5.63 	7.85 	6.09 	6.69 	7.96 	6.43 	7.81 	11.87 	10.41 	10.05 	7.13 
ICCS03011,PER_SUSP,M,P_HTHAB,LU	25.98 	31.75 	28.83 	23.13 	30.00 	28.70 	19.15 	17.45 	: 	: 	22.78 	21.25 	19.20 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,LV	14.05 	15.55 	13.90 	16.07 	16.64 	12.83 	8.56 	10.47 	9.28 	4.92 	3.69 	20.39 	9.97 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,ME	2.61 	3.25 	1.30 	2.27 	2.60 	0.65 	1.63 	1.30 	0.98 	0.98 	0.98 	3.60 	2.63 	6.27 
ICCS03011,PER_SUSP,M,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	4.54 	3.48 	3.39 	3.78 	3.01 	3.90 	4.78 
ICCS03011,PER_SUSP,M,P_HTHAB,MT	7.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,NL	7.02 	7.25 	8.04 	7.01 	7.10 	6.71 	7.31 	7.63 	8.37 	9.36 	11.04 	12.19 	15.02 	16.03 
ICCS03011,PER_SUSP,M,P_HTHAB,NO	21.22 	19.47 	18.77 	18.44 	19.21 	16.47 	14.93 	15.35 	15.89 	7.70 	7.15 	8.30 	7.81 	7.66 
ICCS03011,PER_SUSP,M,P_HTHAB,PL	1.97 	1.81 	2.22 	2.41 	2.16 	2.01 	1.86 	2.28 	2.18 	4.57 	4.77 	4.51 	5.08 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,PT	3.00 	2.39 	3.11 	3.27 	3.15 	2.96 	2.88 	2.90 	3.18 	2.92 	2.77 	3.83 	4.82 	4.83 
ICCS03011,PER_SUSP,M,P_HTHAB,RS	3.68 	2.84 	3.95 	3.72 	3.67 	1.51 	1.79 	1.70 	2.55 	2.59 	2.35 	2.36 	3.36 	3.52 
ICCS03011,PER_SUSP,M,P_HTHAB,SE	87.29 	88.17 	82.45 	70.14 	64.69 	58.45 	57.53 	57.60 	55.08 	28.74 	28.99 	30.60 	28.08 	24.58 
ICCS03011,PER_SUSP,M,P_HTHAB,SI	4.25 	3.90 	3.27 	3.21 	4.00 	2.83 	3.82 	4.02 	3.73 	4.52 	3.75 	4.63 	6.77 	4.26 
ICCS03011,PER_SUSP,M,P_HTHAB,SK	2.48 	1.99 	2.29 	2.26 	2.07 	1.89 	2.01 	2.39 	1.75 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,M,P_HTHAB,XK	: 	8.23 	5.31 	3.60 	: 	2.94 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,AL	69 	78 	87 	47 	41 	47 	61 	44 	41 	25 	24 	51 	97 	82 
ICCS03011,PER_SUSP,T,NR,AT	1727 	1587 	1618 	1654 	1416 	1140 	1029 	1108 	1119 	1118 	1099 	1085 	654 	594 
ICCS03011,PER_SUSP,T,NR,BA	21 	21 	27 	34 	25 	26 	41 	34 	41 	38 	36 	44 	: 	18 
ICCS03011,PER_SUSP,T,NR,BE	430 	434 	539 	502 	516 	428 	457 	1082 	1217 	1380 	1417 	1435 	1463 	1447 
ICCS03011,PER_SUSP,T,NR,BG	75 	74 	74 	71 	58 	78 	53 	101 	91 	112 	94 	142 	180 	228 
ICCS03011,PER_SUSP,T,NR,CH	632 	630 	566 	528 	519 	: 	421 	463 	437 	461 	454 	454 	468 	429 
ICCS03011,PER_SUSP,T,NR,CY	52 	22 	23 	26 	16 	22 	: 	: 	: 	: 	: 	: 	: 	42 
ICCS03011,PER_SUSP,T,NR,CZ	531 	418 	451 	439 	446 	463 	387 	390 	366 	404 	405 	377 	315 	345 
ICCS03011,PER_SUSP,T,NR,DE	9111 	8828 	8247 	7805 	6998 	6476 	5896 	6162 	6277 	6776 	6484 	6675 	6273 	6364 
ICCS03011,PER_SUSP,T,NR,DK	525 	477 	461 	450 	416 	351 	266 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60 
ICCS03011,PER_SUSP,T,NR,EL	316 	162 	231 	254 	246 	235 	225 	273 	322 	341 	339 	430 	372 	348 
ICCS03011,PER_SUSP,T,NR,ES	1298 	1057 	1245 	1228 	1059 	693 	889 	947 	861 	866 	1058 	1237 	1382 	1043 
ICCS03011,PER_SUSP,T,NR,FI	1299 	1271 	1068 	790 	938 	826 	811 	717 	800 	771 	644 	574 	512 	641 
ICCS03011,PER_SUSP,T,NR,FR	22530 	16816 	15288 	13718 	10681 	11769 	8753 	8293 	7785 	7447 	7269 	6828 	6917 	6933 
ICCS03011,PER_SUSP,T,NR,HR	170 	134 	150 	128 	137 	141 	138 	174 	174 	103 	99 	121 	99 	146 
ICCS03011,PER_SUSP,T,NR,HU	435 	454 	314 	191 	351 	404 	368 	258 	251 	251 	265 	303 	234 	284 
ICCS03011,PER_SUSP,T,NR,IE	: 	249 	149 	98 	236 	: 	: 	: 	: 	: 	: 	: 	: 	24 
ICCS03011,PER_SUSP,T,NR,IS	187 	156 	185 	230 	182 	171 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,LI	: 	5 	1 	: 	: 	2 	1 	4 	2 	5 	2 	0 	0 	3 
ICCS03011,PER_SUSP,T,NR,LT	55 	44 	68 	74 	103 	83 	90 	108 	88 	110 	170 	152 	150 	106 
ICCS03011,PER_SUSP,T,NR,LU	92 	106 	91 	72 	91 	87 	58 	51 	: 	: 	60 	58 	49 	45 
ICCS03011,PER_SUSP,T,NR,LV	124 	139 	124 	145 	150 	121 	78 	97 	86 	49 	36 	200 	101 	219 
ICCS03011,PER_SUSP,T,NR,ME	8 	10 	4 	7 	8 	2 	5 	4 	3 	3 	3 	11 	8 	19 
ICCS03011,PER_SUSP,T,NR,MK	: 	: 	: 	: 	: 	: 	: 	48 	36 	36 	39 	31 	40 	49 
ICCS03011,PER_SUSP,T,NR,MT	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,NR,NL	626 	630 	702 	607 	613 	574 	624 	646 	705 	800 	925 	1015 	1285 	1360 
ICCS03011,PER_SUSP,T,NR,NO	588 	538 	511 	503 	523 	442 	396 	402 	410 	392 	355 	409 	377 	372 
ICCS03011,PER_SUSP,T,NR,PL	364 	332 	410 	444 	399 	370 	343 	420 	402 	855 	893 	841 	950 	1021 
ICCS03011,PER_SUSP,T,NR,PT	152 	119 	155 	165 	157 	147 	149 	147 	168 	150 	147 	199 	249 	252 
ICCS03011,PER_SUSP,T,NR,RO	1682 	1333 	1285 	1261 	1154 	751 	801 	778 	930 	862 	: 	: 	1004 	1027 
ICCS03011,PER_SUSP,T,NR,RS	123 	97 	134 	128 	126 	53 	62 	60 	89 	91 	83 	84 	123 	126 
ICCS03011,PER_SUSP,T,NR,SE	4660 	4677 	4322 	3628 	3298 	2933 	2842 	2808 	2675 	2774 	2773 	2897 	2637 	2296 
ICCS03011,PER_SUSP,T,NR,SI	45 	41 	34 	33 	41 	29 	39 	41 	38 	46 	39 	47 	68 	42 
ICCS03011,PER_SUSP,T,NR,SK	66 	53 	61 	60 	56 	50 	53 	63 	46 	51 	83 	86 	102 	94 
ICCS03011,PER_SUSP,T,NR,XK	139 	73 	48 	34 	30 	26 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,AL	2.44 	2.74 	3.04 	1.64 	1.43 	1.63 	2.11 	1.52 	: 	: 	0.85 	: 	3.05 	2.59 
ICCS03011,PER_SUSP,T,P_HTHAB,AT	19.33 	17.83 	18.26 	18.75 	16.14 	13.12 	12.00 	13.02 	13.24 	13.30 	13.12 	12.99 	7.85 	7.15 
ICCS03011,PER_SUSP,T,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.99 	0.94 	1.14 	: 	0.47 
ICCS03011,PER_SUSP,T,P_HTHAB,BE	3.72 	3.77 	4.71 	4.40 	4.55 	3.78 	4.07 	9.68 	10.90 	12.44 	12.88 	13.24 	13.61 	13.57 
ICCS03011,PER_SUSP,T,P_HTHAB,BG	1.08 	1.06 	1.06 	1.01 	0.82 	1.09 	0.74 	1.39 	1.25 	1.53 	1.28 	1.91 	2.41 	3.03 
ICCS03011,PER_SUSP,T,P_HTHAB,CH	7.29 	7.32 	6.62 	6.22 	6.16 	: 	5.11 	5.69 	5.44 	5.80 	5.77 	5.83 	6.08 	5.65 
ICCS03011,PER_SUSP,T,P_HTHAB,CY	5.80 	2.48 	2.63 	3.01 	1.87 	2.59 	: 	: 	: 	: 	: 	: 	: 	5.41 
ICCS03011,PER_SUSP,T,P_HTHAB,CZ	4.96 	3.91 	4.23 	4.14 	4.22 	4.39 	3.67 	3.71 	3.48 	3.85 	3.86 	3.60 	3.02 	3.34 
ICCS03011,PER_SUSP,T,P_HTHAB,DE	10.96 	10.61 	9.93 	9.43 	8.48 	7.88 	7.26 	7.63 	7.80 	8.44 	8.08 	8.16 	7.65 	7.74 
ICCS03011,PER_SUSP,T,P_HTHAB,DK	8.99 	8.19 	7.94 	7.78 	7.24 	6.15 	4.70 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.48 
ICCS03011,PER_SUSP,T,P_HTHAB,EL	2.96 	1.51 	2.15 	2.36 	2.28 	2.18 	2.07 	2.50 	2.93 	3.08 	3.05 	3.87 	3.35 	3.11 
ICCS03011,PER_SUSP,T,P_HTHAB,ES	2.74 	2.23 	2.65 	2.63 	2.28 	1.49 	1.91 	2.04 	1.84 	1.85 	2.27 	2.66 	2.99 	2.28 
ICCS03011,PER_SUSP,T,P_HTHAB,EU_V	12.15 	10.23 	9.64 	8.81 	7.72 	7.46 	6.48 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,FI	23.47 	23.00 	19.36 	14.33 	17.04 	15.05 	14.82 	13.15 	14.74 	14.27 	11.98 	10.73 	9.61 	12.09 
ICCS03011,PER_SUSP,T,P_HTHAB,FR	33.30 	24.98 	22.76 	20.47 	15.99 	17.66 	13.16 	12.58 	11.87 	11.41 	11.19 	10.56 	10.75 	10.83 
ICCS03011,PER_SUSP,T,P_HTHAB,HR	4.21 	3.30 	3.68 	3.12 	3.30 	3.36 	3.27 	4.10 	4.08 	2.41 	2.31 	2.81 	2.30 	3.39 
ICCS03011,PER_SUSP,T,P_HTHAB,HU	4.47 	4.65 	3.21 	1.95 	3.58 	4.11 	3.73 	2.61 	2.53 	2.53 	2.65 	3.03 	2.33 	2.83 
ICCS03011,PER_SUSP,T,P_HTHAB,IE	: 	5.02 	3.04 	2.03 	4.93 	: 	: 	: 	: 	: 	: 	: 	: 	0.54 
ICCS03011,PER_SUSP,T,P_HTHAB,IS	50.71 	42.84 	51.82 	66.01 	53.79 	51.42 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,LI	: 	12.90 	2.61 	: 	: 	5.32 	2.68 	10.77 	5.43 	13.71 	5.53 	0.00 	0.00 	8.49 
ICCS03011,PER_SUSP,T,P_HTHAB,LT	1.97 	1.57 	2.43 	2.63 	3.62 	2.87 	3.08 	3.67 	2.96 	3.66 	5.57 	4.84 	4.71 	3.30 
ICCS03011,PER_SUSP,T,P_HTHAB,LU	14.49 	16.93 	14.82 	11.96 	15.41 	15.10 	10.30 	9.28 	: 	: 	11.72 	11.55 	9.93 	9.30 
ICCS03011,PER_SUSP,T,P_HTHAB,LV	6.55 	7.29 	6.46 	7.50 	7.69 	6.15 	3.93 	4.85 	4.25 	2.40 	1.74 	9.43 	4.67 	9.99 
ICCS03011,PER_SUSP,T,P_HTHAB,ME	1.29 	1.61 	0.64 	1.12 	1.29 	0.32 	0.80 	0.64 	0.48 	0.48 	0.48 	1.78 	1.30 	3.09 
ICCS03011,PER_SUSP,T,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	2.32 	1.75 	1.75 	1.90 	1.51 	1.95 	2.40 
ICCS03011,PER_SUSP,T,P_HTHAB,MT	3.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_SUSP,T,P_HTHAB,NL	3.58 	3.62 	4.06 	3.53 	3.59 	3.38 	3.69 	3.84 	4.20 	4.78 	5.55 	6.12 	7.79 	8.29 
ICCS03011,PER_SUSP,T,P_HTHAB,NO	10.91 	10.02 	9.59 	9.50 	9.95 	8.48 	7.66 	7.87 	8.12 	7.86 	7.21 	8.42 	7.86 	7.85 
ICCS03011,PER_SUSP,T,P_HTHAB,PL	0.96 	0.87 	1.08 	1.17 	1.05 	0.97 	0.90 	1.10 	1.06 	2.25 	2.35 	2.21 	2.49 	2.68 
ICCS03011,PER_SUSP,T,P_HTHAB,PT	1.48 	1.16 	1.51 	1.60 	1.52 	1.42 	1.44 	1.41 	1.60 	1.42 	1.39 	1.88 	2.36 	2.39 
ICCS03011,PER_SUSP,T,P_HTHAB,RO	8.76 	6.90 	6.62 	6.46 	5.87 	3.80 	4.03 	3.90 	4.65 	4.29 	: 	: 	4.91 	4.98 
ICCS03011,PER_SUSP,T,P_HTHAB,RS	1.79 	1.40 	1.92 	1.83 	1.79 	0.75 	0.87 	0.84 	1.24 	1.26 	1.14 	1.15 	1.68 	1.71 
ICCS03011,PER_SUSP,T,P_HTHAB,SE	44.90 	45.29 	42.25 	35.85 	33.00 	29.77 	29.16 	29.11 	27.99 	29.25 	29.45 	31.01 	28.49 	25.00 
ICCS03011,PER_SUSP,T,P_HTHAB,SI	2.13 	1.96 	1.63 	1.60 	1.98 	1.40 	1.89 	1.99 	1.85 	2.24 	1.90 	2.30 	3.35 	2.09 
ICCS03011,PER_SUSP,T,P_HTHAB,SK	1.21 	0.97 	1.12 	1.10 	1.03 	0.92 	0.98 	1.16 	0.85 	0.94 	1.54 	1.60 	1.90 	1.75 
ICCS03011,PER_SUSP,T,P_HTHAB,XK	: 	4.10 	2.67 	1.89 	: 	1.47 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,PER_VICT,F,NR,AL	54 	52 	61 	35 	40 	43 	58 	37 	30 	20 	22 	41 	46 	56 
ICCS03011,PER_VICT,F,NR,AT	1715 	1579 	1596 	1596 	1388 	1123 	1045 	1061 	1146 	1117 	1131 	1101 	604 	568 
ICCS03011,PER_VICT,F,NR,BA	4 	5 	9 	13 	7 	9 	9 	9 	: 	: 	: 	: 	: 	: 
